Year, Probation, Jail, Prison, Parole, Total
1980,"1118097","182288","319598","220438","1840400"
1981,"1225934","195085","360029","225539","2006600"
1982,"1357264","207853","402914","224604","2192600"
1983,"1582947","221815","423898","246440","2475100"
1984,"1740948","233018","448264","266992","2689200"
1985,"1968712","254986","487593","300203","3011500"
1986,"2114621","272736","526436","325638","3239400"
1987,"2247158","294092","562814","355505","3459600"
1988,"2356483","341893","607766","407977","3714100"
1989,"2522125","393303","683367","456803","4055600"
1990,"2670234","403019","743382","531407","4348000"
1991,"2728472","424129","792535","590442","4535600"
1992,"2811611","441780","850566","658601","4762600"
1993,"2903061","455500","909381","676100","4944000"
1994,"2981022","479800","990147","690371","5141300"
1995,"3077861","499300","1078542","679421","5335100"
1996,"3164996","510400","1127528","679733","5482700"
1997/c,"3296513","557974","1176564","694787","5725800"
1998/c,"3670441","584372","1224469","696385","6126100"
1999,"3779922","596485","1287172","714457","6331400"
2000,"3826209","613534","1316333","723898","6437400"
2001,"3931731","623628","1330007","732333","6574100"
2002,"4024067","658228","1367547","750934","6750500"
2003/d,"4120012","684431","1390279","769925","6917700"
2004,"4143792","706907","1421345","771852","6987900"
2005,"4166757","740770","1448344","780616","7045100"
2006,"4215361","759717","1492973","799875","7176000"
2007/e,"4234471","773341","1517867","821177","7267500"
2008/e,"4244046","777852","1522834","824834","7274600"
2009,"4203967","760400","1524513","819308","7225800"
